Scheme Name,Plan,Category Name,Crisil Rank,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
SBI Fixed Maturity Plan (FMP) - Series 66 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,560.85,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 66 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,609.67,0%,1%,2%,3%,0%,7%,,,,
Aditya Birla Sun Life Fixed Term Plan - Series TI (1837) - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,279.75,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 57 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,228.67,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 66 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,560.85,0%,1%,2%,3%,0%,7%,,,,
SBI Fixed Maturity Plan (FMP) - Series 66 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,609.67,0%,1%,2%,3%,0%,7%,,,,
Kotak FMP Series 292 - (1735D) - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,407.82,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 41 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,829.14,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 81 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,367.68,0%,1%,2%,3%,0%,,,,,
SBI Fixed Maturity Plan (FMP) - Series 41 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,829.14,0%,1%,2%,3%,0%,7%,4%,,,
Kotak FMP Series 292 - (1735D) - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,407.82,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 81 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,367.68,0%,1%,2%,3%,0%,,,,,
SBI Fixed Maturity Plan (FMP) - Series 56 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,260,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 57 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,228.67,0%,1%,2%,3%,0%,7%,5%,,,
SBI Fixed Maturity Plan (FMP) - Series 56 - Regular Plan - Growth,Regular,Fixed Maturity Plans - Debt,,260,0%,1%,2%,3%,0%,7%,5%,,,
ICICI Prudential FMP - Series 85 - 10 Years Plan I - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,401.05,0%,1%,2%,3%,0%,7%,5%,5%,,
Bandhan Fixed Term Plan - Series 179 - Direct Plan - Growth,Direct Plan,Fixed Maturity Plans - Debt,,302.99,0%,1%,1%,3%,0%,7%,5%,5%,,
UTI Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,1,25503.37,1%,5%,8%,11%,0%,20%,2%,12%,16%,16%
ICICI Prudential Floating Interest Fund - Direct Plan - Growth,Direct Plan,Floater Fund,1,11581.3,0%,1%,2%,4%,0%,8%,7%,6%,7%,8%
ICICI Prudential Floating Interest Fund - Growth,Regular,Floater Fund,1,11581.3,0%,1%,1%,4%,0%,8%,6%,5%,7%,7%
SBI Floating Rate Debt Fund - Direct Plan - Growth,Direct Plan,Floater Fund,,2218.25,0%,1%,2%,4%,0%,8%,6%,5%,,
Kotak Floating Rate Fund - Direct Plan - Growth,Direct Plan,Floater Fund,,5456.1,0%,1%,2%,4%,0%,8%,6%,5%,,
SBI Floating Rate Debt Fund - Regular Plan - Growth,Regular,Floater Fund,,2218.25,0%,1%,2%,4%,0%,8%,6%,5%,,
Kotak Floating Rate Fund - Regular Plan - Growth,Regular,Floater Fund,,5456.1,0%,1%,2%,4%,0%,7%,5%,5%,,
Aditya Birla Sun Life Floating Rate Fund - Direct Plan - Growth,Direct Plan,Floater Fund,5,13085.96,0%,1%,2%,4%,0%,8%,6%,6%,7%,8%
Aditya Birla Sun Life Floating Rate Fund - Regular Plan - Growth,Regular,Floater Fund,5,13085.96,0%,1%,2%,4%,0%,7%,6%,5%,7%,8%
Franklin India Floating Rate Fund - Growth,Regular,Floater Fund,1,390.41,0%,1%,2%,4%,0%,7%,6%,5%,6%,6%
UTI Floater Fund - Direct Plan - Growth,Direct Plan,Floater Fund,,1421.08,0%,1%,2%,3%,0%,7%,6%,5%,7%,
HDFC Floating Rate Debt Fund - Direct Plan - Growth,Direct Plan,Floater Fund,3,16886.99,0%,1%,2%,4%,0%,8%,6%,6%,7%,8%
HDFC Floating Rate Debt Fund -Growth,Regular,Floater Fund,3,16886.99,0%,1%,2%,4%,0%,8%,6%,5%,7%,8%
UTI Floater Fund - Growth,Regular,Floater Fund,,1421.08,0%,1%,2%,3%,0%,7%,5%,5%,6%,
Nippon India Floating Rate Fund - Direct Plan - Growth,Direct Plan,Floater Fund,3,7867.07,0%,1%,2%,4%,0%,8%,6%,5%,7%,8%
Bandhan Floating Rate Fund - Direct Plan - Growth,Direct Plan,Floater Fund,,205.29,0%,1%,2%,3%,0%,7%,6%,,,
Nippon India Floating Rate Fund - Growth,Regular,Floater Fund,3,7867.07,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
Bandhan Floating Rate Fund - Regular Plan - Growth,Regular,Floater Fund,,205.29,0%,1%,2%,3%,0%,7%,5%,,,
Tata Floating Rate Fund - Direct Plan - Growth,Direct Plan,Floater Fund,,259.65,0%,1%,2%,4%,0%,8%,6%,,,
Tata Floating Rate Fund - Growth,Regular,Floater Fund,,259.65,0%,1%,2%,3%,0%,7%,6%,,,
Axis Floater Fund - Direct Plan - Growth,Direct Plan,Floater Fund,,300.72,0%,1%,2%,3%,0%,7%,6%,,,
Axis Floater Fund - Regular Plan - Growth,Regular,Floater Fund,,300.72,0%,1%,2%,3%,0%,7%,6%,,,
DSP Floater Fund - Direct Plan - Growth,Direct Plan,Floater Fund,,1010.37,0%,1%,2%,4%,0%,8%,6%,,,
DSP Floater Fund - Regular Plan - Growth,Regular,Floater Fund,,1010.37,0%,1%,2%,4%,0%,8%,5%,,,
Sundaram Focused Fund - Direct Plan - Growth,Direct Plan,Focused Fund,3,949.72,1%,7%,10%,15%,0%,25%,13%,19%,18%,17%
ICICI Prudential Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,5,4399.18,0%,1%,2%,4%,0%,9%,7%,6%,8%,10%
ICICI Prudential Gilt Fund - Growth,Regular,Gilt Fund,5,4399.18,0%,1%,2%,4%,0%,8%,6%,5%,8%,9%
Kotak Gilt - Investment - Direct Plan - Growth,Direct Plan,Gilt Fund,4,2935.32,0%,1%,2%,4%,0%,8%,6%,5%,8%,9%
Kotak Gilt - Investment - PF and Trust - Direct Plan - Growth,Direct Plan,Gilt Fund,,2935.32,0%,1%,2%,4%,0%,8%,6%,5%,8%,9%
Kotak Gilt - Investment - Regular - Growth,Regular,Gilt Fund,4,2935.32,0%,1%,2%,3%,0%,7%,5%,4%,7%,8%
Kotak Gilt - Investment - PF and Trust - Growth,Regular,Gilt Fund,,2935.32,0%,1%,2%,3%,0%,7%,5%,4%,7%,8%
HDFC Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,2,2404.79,0%,1%,2%,3%,0%,7%,5%,4%,6%,8%
HDFC Gilt Fund - Growth,Regular,Gilt Fund,3,2404.79,0%,1%,2%,3%,0%,7%,4%,4%,6%,8%
HSBC Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,3,211.11,0%,1%,2%,3%,0%,7%,5%,4%,7%,9%
Axis Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,3,214.78,0%,1%,2%,3%,0%,7%,5%,4%,8%,8%
Axis Gilt Fund - Growth,Regular,Gilt Fund,3,214.78,0%,1%,2%,3%,0%,7%,5%,4%,7%,8%
HSBC Gilt Fund - Growth,Regular,Gilt Fund,2,211.11,0%,1%,2%,2%,0%,5%,4%,3%,5%,7%
SBI Magnum Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund,4,7764.84,0%,1%,2%,3%,0%,8%,6%,5%,8%,10%
SBI Magnum Gilt Fund - Regular Plan - Growth,Regular,Gilt Fund,5,7764.84,0%,1%,2%,3%,0%,7%,6%,5%,8%,9%
ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Growth,Direct Plan,Gilt Fund with 10 year constant duration,,2302.28,0%,1%,2%,3%,0%,8%,5%,4%,8%,
ICICI Prudential Constant Maturity Gilt Fund - Growth,Regular,Gilt Fund with 10 year constant duration,,2302.28,0%,1%,2%,3%,0%,8%,4%,4%,7%,
SBI Magnum Constant Maturity Fund - Direct Plan - Growth,Direct Plan,Gilt Fund with 10 year constant duration,,1534.52,0%,1%,2%,3%,0%,8%,5%,4%,7%,9%
SBI Magnum Constant Maturity Fund - Regular Plan - Growth,Regular,Gilt Fund with 10 year constant duration,,1534.52,0%,1%,2%,3%,0%,7%,4%,4%,7%,8%
Aditya Birla Sun Life Interval Income Fund - Quarterly Plan - Series 1 - Direct Plan - Growth,Direct Plan,Interval Plans,,291.65,0%,1%,2%,4%,0%,7%,7%,5%,5%,6%
Aditya Birla Sun Life Interval Income Fund - Quarterly Plan - Series 1- Growth,Regular,Interval Plans,,291.65,0%,1%,2%,4%,0%,7%,6%,6%,5%,6%
Motilal Oswal Large and Midcap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,5,2727.4,1%,6%,13%,24%,0%,40%,20%,27%,,
Sundaram Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,2,5738.4,1%,6%,12%,19%,0%,27%,13%,22%,18%,18%
UTI Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,2,11673.38,1%,5%,9%,14%,0%,21%,10%,16%,16%,15%
Bajaj Finserv Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,,2081.68,0%,1%,2%,,0%,,,,,
Sundaram Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,2,4781.14,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
Nippon India Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,2,24632.11,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Bajaj Finserv Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,,2081.68,0%,1%,2%,,0%,,,,,
Sundaram Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,3,4781.14,0%,1%,2%,3%,0%,7%,6%,5%,5%,5%
Mirae Asset Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,11787.7,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
Canara Robeco Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,5,3185.14,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
PGIM India Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,1,422.41,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Aditya Birla Sun Life Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,1,39102.35,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Kotak Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,2,27426.51,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Nippon India Liquid Fund - Growth,Regular,Liquid Fund,2,24632.11,0%,1%,2%,3%,0%,7%,6%,5%,5%,7%
DSP Liquidity Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,12198.14,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Bandhan Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,4,13318.54,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Canara Robeco Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,5,3185.14,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
UTI Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,2,22736.78,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
HDFC Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,48966.48,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Invesco India Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,7895.97,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Invesco India Liquid Fund - Growth,Regular,Liquid Fund,3,7895.97,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
HSBC Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,20155.17,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Mirae Asset Liquid Fund - Growth,Regular,Liquid Fund,3,11787.7,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
Axis Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,28221.25,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
ICICI Prudential Liquid Fund - Direct Fund - Growth,Direct Plan,Liquid Fund,2,38837.93,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Union Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,4,2624.1,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
Bank of India Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,4,1478.02,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
SBI Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,58177.26,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Franklin India Liquid Fund - Super Institutional - Direct - Growth,Direct Plan,Liquid Fund,4,1842.63,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Tata Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,1,22010.58,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
DSP Liquidity Fund - Regular Plan - Growth,Regular,Liquid Fund,3,12198.14,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
Aditya Birla Sun Life Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,1,39102.35,0%,1%,2%,3%,0%,7%,6%,5%,5%,7%
Kotak Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,2,27426.51,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
PGIM India Liquid Fund - Growth,Regular,Liquid Fund,1,422.41,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
UTI Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,2,22736.78,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
Bank of India Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,4,1478.02,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
Axis Liquid Fund - Growth,Regular,Liquid Fund,3,28221.25,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Bandhan Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,4,13318.54,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
HDFC Liquid Fund - Growth,Regular,Liquid Fund,3,48966.48,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
HSBC Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,3,20155.17,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
Franklin India Liquid Fund - Super Institutional Plan - Growth,Regular,Liquid Fund,4,1842.63,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
ICICI Prudential Liquid Fund - Growth,Regular,Liquid Fund,2,38837.93,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
Baroda BNP Paribas Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,8891.45,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Union Liquid Fund - Growth,Regular,Liquid Fund,4,2624.1,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
Tata Liquid Fund -Regular Plan - Growth,Regular,Liquid Fund,1,22010.58,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
SBI Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,3,58177.26,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
Mahindra Manulife Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,793.56,0%,1%,2%,4%,0%,7%,6%,5%,5%,
Edelweiss Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,3,4337.05,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
LIC MF Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,4,8257.99,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Baroda BNP Paribas Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,4,8891.45,0%,1%,2%,3%,0%,7%,6%,5%,5%,7%
LIC MF Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,3,8257.99,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
Quant Liquid Plan - Direct Plan - Growth,Direct Plan,Liquid Fund,,1752.94,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Mahindra Manulife Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,3,793.56,0%,1%,2%,4%,0%,7%,6%,5%,5%,
360 ONE Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,1,504.59,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
JM Liquid Fund - (Direct) - Growth,Direct Plan,Liquid Fund,4,1690.33,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
360 ONE Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,1,504.59,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
WhiteOak Capital Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,,232.9,0%,1%,2%,3%,0%,7%,6%,5%,,
Edelweiss Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,2,4337.05,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
JM Liquid Fund - Growth,Regular,Liquid Fund,4,1690.33,0%,1%,2%,4%,0%,7%,6%,5%,5%,6%
WhiteOak Capital Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,,232.9,0%,1%,2%,3%,0%,7%,6%,5%,,
Quant Liquid Plan - Growth,Regular,Liquid Fund,,1752.94,0%,1%,2%,3%,0%,7%,6%,5%,5%,7%
TRUSTMF Liquid Fund - Regular Plan - Growth,Regular,Liquid Fund,,257.83,0%,1%,2%,4%,0%,7%,6%,,,
Quantum Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,5,614.88,0%,1%,2%,3%,0%,7%,6%,5%,5%,6%
Quantum Liquid Fund - Growth,Regular,Liquid Fund,5,614.88,0%,1%,2%,3%,0%,7%,6%,5%,5%,
TRUSTMF Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,,257.83,0%,1%,2%,3%,0%,7%,6%,,,
Motilal Oswal Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,5,477.28,0%,1%,2%,3%,0%,7%,6%,5%,5%,
Motilal Oswal Liquid Fund - Growth,Regular,Liquid Fund,5,477.28,0%,1%,2%,3%,0%,7%,5%,5%,5%,
Parag Parikh Liquid Fund - Direct Plan - Growth,Direct Plan,Liquid Fund,5,2007.2,0%,1%,2%,3%,0%,7%,6%,5%,5%,
Parag Parikh Liquid Fund - Growth,Regular,Liquid Fund,5,2007.2,0%,1%,2%,3%,0%,7%,6%,5%,5%,
HDFC Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,3,15800.88,0%,1%,2%,4%,0%,8%,6%,6%,7%,8%
Aditya Birla Sun Life Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,3,12761.76,0%,1%,2%,4%,0%,8%,6%,6%,7%,8%
UTI Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,2,3520.77,0%,1%,2%,3%,0%,7%,6%,7%,5%,7%
HSBC Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,568.66,0%,1%,2%,4%,0%,8%,6%,5%,6%,7%
ICICI Prudential Savings Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,5,22063.24,0%,1%,2%,4%,0%,8%,6%,5%,7%,8%
HDFC Low Duration Fund - Regular Plan - Growth,Regular,Low Duration Fund,3,15800.88,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
Kotak Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,1,11034.15,0%,1%,2%,4%,0%,8%,6%,5%,7%,8%
ICICI Prudential Savings Fund - Growth,Regular,Low Duration Fund,5,22063.24,0%,1%,2%,4%,0%,8%,6%,5%,7%,7%
SBI Magnum Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,1,10358.83,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
Axis Treasury Advantage Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,3,5170.61,0%,1%,2%,4%,0%,7%,6%,5%,7%,7%
Mahindra Manulife Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,2,477.04,0%,1%,2%,4%,0%,8%,6%,5%,6%,
LIC MF Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,3,1451.04,0%,1%,2%,3%,0%,7%,6%,5%,5%,7%
HSBC Low Duration Fund - Growth,Regular,Low Duration Fund,4,568.66,0%,1%,2%,4%,0%,7%,6%,5%,5%,7%
Mirae Asset Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,2,572.31,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
SBI Magnum Low Duration Fund - Regular Plan - Growth,Regular,Low Duration Fund,1,10358.83,0%,1%,2%,3%,0%,7%,5%,5%,6%,7%
Axis Treasury Advantage Fund - Growth,Regular,Low Duration Fund,4,5170.61,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
Aditya Birla Sun Life Low Duration Fund - Regular Plan - Growth,Regular,Low Duration Fund,2,12761.76,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
DSP Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,3707.19,0%,1%,2%,3%,0%,7%,6%,5%,6%,
Sundaram Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,465.7,0%,1%,2%,4%,0%,7%,6%,5%,2%,5%
Kotak Low Duration Fund - Growth,Regular,Low Duration Fund,1,11034.15,0%,1%,2%,3%,0%,7%,5%,5%,6%,7%
Mirae Asset Low Duration Fund  - Regular Savings - Growth,Regular,Low Duration Fund,2,572.31,0%,1%,2%,3%,0%,7%,5%,5%,5%,6%
Tata Treasury Advantage Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,3,2632.57,0%,1%,2%,3%,0%,7%,6%,5%,5%,7%
Canara Robeco Savings Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,5,880.7,0%,1%,2%,4%,0%,7%,6%,5%,6%,7%
LIC MF Low Duration Fund - Growth,Regular,Low Duration Fund,3,1451.04,0%,1%,2%,3%,0%,7%,5%,5%,5%,6%
Mahindra Manulife Low Duration Fund - Regular Plan - Growth,Regular,Low Duration Fund,2,477.04,0%,1%,2%,3%,0%,7%,5%,5%,6%,
DSP Low Duration Fund - Regular Plan - Growth,Regular,Low Duration Fund,4,3707.19,0%,1%,2%,3%,0%,7%,6%,5%,6%,
Bandhan Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,3,5447.06,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
Nippon India Low Duration Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,2,6512.84,0%,1%,2%,4%,0%,7%,6%,6%,6%,7%
Tata Treasury Advantage Fund - Regular Plan - Growth,Regular,Low Duration Fund,3,2632.57,0%,1%,2%,3%,0%,7%,5%,5%,5%,6%
Canara Robeco Savings Fund - Regular Plan - Growth,Regular,Low Duration Fund,5,880.7,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
Bandhan Low Duration Fund - Regular Plan - Growth,Regular,Low Duration Fund,3,5447.06,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
Invesco India Treasury Advantage Fund - Direct Plan - Growth,Direct Plan,Low Duration Fund,4,1267.41,0%,1%,2%,3%,0%,7%,6%,5%,6%,7%
Sundaram Low Duration Fund - Growth,Regular,Low Duration Fund,3,465.7,0%,1%,2%,3%,0%,6%,5%,5%,1%,5%
Invesco India Treasury Advantage Fund - Growth,Regular,Low Duration Fund,4,1267.41,0%,1%,2%,3%,0%,7%,5%,5%,6%,7%
Nippon India Low Duration Fund - Growth,Regular,Low Duration Fund,2,6512.84,0%,1%,2%,3%,0%,7%,5%,5%,6%,7%
Bandhan Bond Fund - Medium Term Plan - Direct Plan - Growth,Direct Plan,Medium Duration Fund,3,1657.56,0%,1%,2%,3%,0%,7%,5%,4%,7%,8%
Bandhan Bond Fund - Medium Term Plan - Regular Plan - Growth,Regular,Medium Duration Fund,3,1657.56,0%,1%,2%,3%,0%,6%,4%,3%,6%,7%
Axis Strategic Bond Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,4,1936.64,0%,1%,2%,3%,0%,8%,6%,6%,7%,9%
HDFC Medium Term Debt Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,3,4223.04,0%,1%,2%,3%,0%,7%,6%,6%,8%,8%
ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,4,6496.18,0%,1%,2%,4%,0%,8%,6%,6%,8%,9%
SBI Magnum Medium Duration Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,1,6895.37,0%,1%,2%,3%,0%,8%,6%,5%,8%,10%
HSBC Medium Duration Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,5,687.99,0%,1%,2%,3%,0%,8%,6%,6%,7%,
Axis Strategic Bond Fund - Growth,Regular,Medium Duration Fund,5,1936.64,0%,1%,2%,3%,0%,7%,6%,5%,7%,8%
HDFC Medium Term Debt Fund - Growth,Regular,Medium Duration Fund,3,4223.04,0%,1%,2%,3%,0%,7%,5%,5%,7%,7%
SBI Magnum Medium Duration Fund - Regular Plan - Growth,Regular,Medium Duration Fund,2,6895.37,0%,1%,2%,3%,0%,7%,5%,5%,8%,9%
DSP Bond Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,3,347.56,0%,1%,2%,3%,0%,7%,5%,5%,6%,7%
ICICI Prudential Medium Term Bond Fund - Growth,Regular,Medium Duration Fund,4,6496.18,0%,1%,2%,3%,0%,7%,6%,6%,7%,8%
HSBC Medium Duration Fund - Growth,Regular,Medium Duration Fund,4,687.99,0%,1%,2%,3%,0%,7%,5%,5%,6%,
DSP Bond Fund - Regular Plan - Growth,Regular,Medium Duration Fund,3,347.56,0%,1%,2%,3%,0%,7%,5%,4%,5%,7%
Invesco India Medium Duration Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,,238.27,0%,1%,2%,3%,0%,7%,5%,,,
Kotak Medium Term Fund - Direct Plan - Growth,Direct Plan,Medium Duration Fund,2,1874.05,0%,1%,2%,4%,0%,7%,6%,6%,7%,
Invesco India Medium Duration Fund - Regular Plan - Growth,Regular,Medium Duration Fund,,238.27,0%,1%,2%,3%,0%,6%,4%,,,
Kotak Medium Term Fund - Regular Plan - Growth,Regular,Medium Duration Fund,1,1874.05,0%,1%,2%,3%,0%,6%,5%,5%,6%,
Aditya Birla Sun Life Medium Term Plan - Direct Plan - Growth,Direct Plan,Medium Duration Fund,3,1890.52,0%,1%,2%,3%,0%,8%,16%,13%,9%,9%
